name,rating,price_original,price_current,discount_percent,days_until_sale,genre,reviews_count,player_trend,will_be_discounted
Left 4 Dead 2,94.21854301943345,23.518583059784632,11.185143814572834,50.29116695865016,1.0083153697460159,Metroidvania,11218.354284124427,falling,1
Outlast,46.30060032503366,11.220363374002435,11.269190051976944,0.0,0.0,Shooter,113903.43422788096,growing,0
Monster Hunter World,56.63730430396876,28.821302089766043,30.415961613115943,0.0,0.0,Racing,192623.75200089498,stable,0
Rainbow Six Siege,43.12505780851559,56.45360852571745,57.50090186029093,1.106769062619087,0.0,Adventure,193374.10193417285,falling,0
Phasmophobia,97.29023917101075,7.12541836414692,2.2177482158539874,22.165019668852903,16.30484008950852,Action,76173.18726567326,falling,1
RimWorld,81.82599231680503,34.019760280749146,6.105538948145904,81.27845890509118,2.575410978626036,Horror,15784.998924904823,stable,1
Assassin’s Creed Valhalla,66.97427019583516,60.154569065300926,59.21722674437946,0.0,0.0,Sports,169252.8986461433,stable,0
Hades,82.504422908012,54.263005798354826,57.19972349699651,1.2652255562777883,0.004297823128886879,Survival,7718.375172939948,falling,0
Dota 2,56.3076262105018,34.36020678175043,30.617389746859512,10.691496644251258,28.459674621671684,Horror,4290.305359860016,stable,1
Mount & Blade II: Bannerlord,77.65263164568012,33.86206704573415,35.1176450480324,1.5469587989986342,0.0,Survival,157993.22171916947,stable,0
Destiny 2,67.87448557740022,4.189360340518659,4.973426136312875,0.0,0.0,Puzzle,195684.00856927375,growing,0
Sons of the Forest,45.13354863677413,55.06687274909267,17.4587924215515,69.3119024621492,1.8776354949828753,Strategy,185415.03572165346,stable,1
Don't Starve Together,89.83379617696505,16.137385669463978,14.915033683759379,1.3514327583151438,0.0,Shooter,114363.43219712033,growing,0
Hotline Miami,63.29055391526681,8.348113595363873,4.044962494016297,49.79976704321918,29.928419742349224,Strategy,175564.51948990536,falling,1
Destiny 2,66.09534516832005,61.9970658034245,60.01509739890204,2.3925010469370176,0.0,Strategy,89264.5558692849,growing,0
Hunt: Showdown,54.941063358353595,47.8663039752687,47.97543023781484,0.0,0.27561773150313607,Indie,111802.45476873258,stable,0
Elden Ring,83.68927961632208,30.801245061491933,32.501137759732984,1.9365820767513793,0.0,Horror,142986.79941351124,stable,0
RimWorld,96.5459089854731,30.525280843101584,18.227272905762334,43.62828553492442,20.59108578234641,Adventure,77202.0466067141,falling,1
Terraria,65.17665709311254,15.638078950418201,17.5403368638727,0.39448963335836207,0.18996489197800298,RPG,110419.88281394893,growing,0
For Honor,76.88580010925418,44.61200767054611,44.90145977692989,0.0,0.0,Shooter,163171.71023459057,stable,0
Mortal Kombat 11,52.946976239397465,78.7838924787704,68.32984501434866,9.689939648733397,6.993255236577386,Sports,14486.373776130413,growing,1
For Honor,91.49863180584106,58.761935616999786,58.52658343132584,0.41788993158564725,0.35085308421119943,Shooter,43864.65685035781,growing,0
Path of Exile 2,64.92430835698663,60.72817914820749,11.719880265608296,79.64151564237221,20.277529987430178,Shooter,166323.77583463976,growing,1
Warframe,86.15130484013201,27.097719750580517,27.225004915497266,0.0,0.0,Metroidvania,176749.4374171938,falling,0
UltraKill,46.88907726822471,75.0112813326315,75.74502347246904,1.1435241394109423,0.0,Roguelike,143308.1265804352,stable,0
Doom Eternal,46.583094531238,58.21775244997088,22.99603494455468,60.30417395880089,21.273235277591837,Racing,50799.88564501285,falling,1
Ori and the Will of the Wisps,51.79135248055711,39.505970775013466,38.8950645481029,1.1027747964987598,0.0,Simulation,116626.35209581818,stable,0
Rainbow Six Siege,77.81193743302038,2.228569849275077,3.272243106356732,0.6127176555728541,0.0,Adventure,37144.711445589,stable,0
Destiny 2,53.98209878331201,53.13959778097751,51.074352853986504,0.7362119544448954,0.3127811467328275,Sports,81633.13518584188,falling,0
Slime Rancher 2,89.84960785559068,51.651686567799956,51.54590026310725,1.419521818565211,0.43920906946327426,Strategy,156054.27104334917,stable,0
Resident Evil 4 Remake,60.93107898384938,71.93577472082157,48.762918612331404,29.689354101623845,12.832355662115209,Simulation,32707.480844598613,stable,1
Monster Hunter World,65.97325530770303,12.915148273062647,11.631079894883388,0.0,0.0,Puzzle,59987.40803368014,falling,0
Path of Exile,89.6244878170323,33.29570894811898,32.981696853030336,1.3902564603547356,0.0,RPG,132508.07020465238,growing,0
Ori and the Will of the Wisps,74.52148903257842,32.92280994548919,23.16388878870512,31.41122831475522,15.081166744269042,Adventure,192198.56117760364,falling,1
Terraria,49.741793734555905,17.392378611748605,19.312980160992268,2.573570710027146,0.5009437665217972,Indie,179520.83809995366,stable,0
The Witcher 3,79.47106090398562,75.13087000698144,74.50856082226274,0.0,0.28894759014817695,Metroidvania,126951.87758539806,growing,0
Hotline Miami 2,65.2414227415036,77.98087610386659,38.7069133151393,48.1595609424113,21.617690465822687,Racing,34519.626040267314,growing,1
Left 4 Dead 2,46.9889857222329,73.21114865276284,74.04755911797338,0.4932758085112693,0.45289264443338684,Sports,88673.53079960002,falling,0
Valheim,57.74400870977856,38.801934441708006,37.46957883829188,0.0,0.2926845328913959,RPG,80002.31142485354,falling,0
Dead Cells,79.87175941993853,47.7505975473935,50.84042018120328,0.26342213281017074,0.0,RPG,30865.767880066895,falling,0
Hades,63.3917760419404,81.08440205289402,78.65461813871033,0.0,0.6812347146329489,Metroidvania,160174.0203981125,stable,0
Lost Ark,64.16986103535163,52.88170451283316,52.052754354703545,0.8511287599614992,0.0,Fighting,49509.155063472615,falling,0
ARK: Survival Evolved,55.8573360328985,39.980451531685105,38.04679273237315,0.2403536667796097,0.0545168430970097,RPG,76047.56007496454,falling,0
Assassin’s Creed Odyssey,83.42671317672563,32.81053480720505,32.439539319102025,9.078157870575781,10.674678716041218,Puzzle,45176.86656033958,falling,1
Dark Souls III,56.907779123735004,67.95580551171724,67.30923396053342,0.33950222073453545,0.0,Fighting,52311.44034430334,stable,0
Cities: Skylines,89.48871835321343,77.79871739348371,46.388679931849325,38.47422087046009,16.222151920301208,Shooter,115620.69228247713,growing,1
Satisfactory,46.28013180482551,30.769786872767934,10.475201363050635,60.79315549786932,7.08060678581403,Roguelike,54181.24039470731,growing,1
Resident Evil Village,92.87705780172239,13.160721109106932,14.567590823475049,0.0,0.06957595358328571,RPG,136735.78704397805,growing,0
Surgeon Simulator,58.09022191955986,13.366405982359879,5.063318057925054,60.29786152890247,8.580555683423484,Roguelike,61103.78547430418,stable,1
Payday 3,60.250742725609854,39.8962633242298,41.11266601833678,0.9056839606790272,0.0,Action,120554.3010696256,stable,0
American Truck Simulator,85.45853935400429,40.56910349565106,42.12599965984649,0.0,0.14283120091198637,Puzzle,30969.119506031268,stable,0
FIFA 24,49.2294229760377,18.92044008745137,22.793369621504585,0.0,0.0,Roguelike,89304.63217930245,growing,0
Path of Exile 2,88.12208015534597,32.37114342941317,33.33883779132721,0.48891940598978273,0.0,Horror,44782.01145518648,falling,0
Dota 2,62.49879722702175,65.04087955942947,64.8375677621338,0.0,0.0,RPG,179763.8227205903,falling,0
Limbo,60.38164919639332,17.853903309769525,9.32922677007997,48.4166719622391,2.3509348410402184,Roguelike,82587.42495345381,falling,1
Cities: Skylines 2,63.114605263062266,71.90949347572045,72.72025383557795,1.1883109121278945,0.19665717477055053,Action,151498.93840728214,falling,0
Tekken 8,94.06469691432625,60.71551001544701,58.702674391637295,0.0,1.0636389104879866,Racing,131485.30268185213,falling,0
Baldur's Gate 3,60.800051886308076,44.562488595535825,46.13789990743352,3.069956899726436,0.0,Roguelike,105235.41590378646,falling,0
Dragon Ball FighterZ,57.60543081749754,35.06968124631285,30.382077783641467,9.150733467034188,27.439081034743115,Horror,9921.14015903444,stable,1
Oxygen Not Included,89.29403248528881,51.107249248001594,52.62620469237217,0.0,0.831767463003101,Strategy,154662.16195221932,stable,0
Hotline Miami,64.27239006122981,41.318383222426235,42.17823788016181,1.5878056903320716,0.0,RPG,140428.4417578871,stable,0
Slime Rancher 2,81.40557979298033,41.342069433565385,13.39942111344962,71.77304475029996,10.337671563147678,Puzzle,194651.05385452375,growing,1
Resident Evil 4 Remake,78.3637531532648,79.2963071493366,79.23399454250175,0.0,0.0,Roguelike,14915.299472016457,growing,0
Outlast 2,43.60296812024901,33.77344833517911,25.403281684136164,21.066611664120053,4.927384935539176,Sports,196495.30499651984,growing,1
FIFA 24,89.76031132900077,44.797128453020434,20.05892042787532,58.753729852275015,19.96785396127914,RPG,150865.94496857334,falling,1
Dark Souls III,81.47072344945364,74.53119967520074,36.00983209244046,51.0963110762226,18.76416247449152,Simulation,11692.494892700108,stable,1
Frostpunk,55.866648446592485,15.878215173465662,17.593119221495922,0.5336670970600463,0.0,Roguelike,190048.2275270412,falling,0
The Binding of Isaac,68.31026333206046,23.29720132085582,23.423296795802777,0.0,0.4614910767296832,Horror,101137.55233325726,stable,0
Path of Exile 2,80.89902701251266,29.08689789079566,30.002144897313162,0.0,0.0,Puzzle,144514.21074508116,falling,0
Lethal Company,62.03480211734611,67.4555752823787,26.617320176738243,61.02980653686572,27.65521993699022,Simulation,29647.485345450357,stable,1
Payday 3,57.67840961833644,31.756375946877924,31.07142387637984,0.0,0.0,Strategy,138221.6249780208,falling,0
Goat Simulator 3,71.19421675327249,16.143649675190993,9.144196345499065,40.28662067418427,22.51612374149156,Indie,128525.87085451375,growing,1
Hunt: Showdown,79.18896215578002,36.73549057963753,37.82382678406902,1.319752938581702,0.035239566692092605,Simulation,34985.3871270705,falling,0
Counter-Strike 2,43.910219816997255,50.45607498967912,20.72160694332093,58.2526534213771,29.516725011428036,Roguelike,101810.23304039043,stable,1
Destiny 2,64.83064172180008,62.379596691663735,61.39574482194683,0.0,0.21401664727650055,Strategy,87145.10280606765,growing,0
Cyberpunk 2077,91.24386717486439,2.233959779361073,3.057864040933876,0.0,0.4083744329394658,Strategy,113072.23260617814,stable,0
Dead Cells,73.00685978247127,76.72249963350812,23.98421579899278,70.00131376335474,3.7114048807313207,Simulation,156760.19158845433,stable,1
Black Desert Online,63.90879960639456,17.27592530269152,17.40114744672783,1.0331713540533634,0.028681885467723732,RPG,106266.25040235641,growing,0
Bloodstained: Ritual of the Night,83.98330471902379,18.045083372213412,7.146105268356001,60.22325243804578,19.400860851026493,Racing,109015.39877040478,stable,1
Hotline Miami,58.91789411145883,14.920665702817779,14.397298332555943,0.0,0.0,Survival,1937.8894537065376,stable,0
Hotline Miami 2,77.2554576758136,76.2835839464411,37.32134443197566,48.465669980675834,12.627749627584643,Shooter,45337.463369264464,growing,1
Lethal Company,77.73223799662887,70.56701040260097,14.605227673052543,81.30948029681083,0.41964813726993044,Action,171907.76750109205,stable,1
Terraria,63.86360811558843,71.78813395961225,75.45189494475504,0.0,0.6865965087691481,Action,72412.79483377733,growing,0
Resident Evil 4 Remake,76.81571536080531,6.21240826224028,4.233625844054668,39.86060656057644,2.1054775742624083,Strategy,42506.6251984534,stable,1
Madden NFL 24,46.98537895348254,27.152233344764202,7.882515607247774,68.25813736728797,4.882280312841271,Adventure,28447.39135022089,stable,1
Monster Hunter World,58.594209793649185,65.9347771992395,19.433636673101375,69.1022947494584,26.638117508404378,Puzzle,163860.39656421254,falling,1
RimWorld,93.2573295405468,78.84609903561334,78.2159144996811,1.523128315916031,0.5841777441157784,Action,41751.533673701895,growing,0
Counter-Strike 2,96.17352696896789,60.46745156986094,9.910516701408417,77.14576820945804,17.301312250262168,Roguelike,92554.30739482654,stable,1
Outlast 2,56.870746263201454,17.03140493417675,12.613822194606854,0.0,0.0,Roguelike,11371.4753501284,growing,0
FIFA 24,86.61602174191863,53.56728025190715,53.83659894330428,0.7236358400250558,0.0,Simulation,147907.39341853856,stable,0
Assassin’s Creed Odyssey,67.7203035467347,24.593959877019167,13.273431600354916,49.18013587416036,21.939544401550084,Indie,39709.435069077044,stable,1
Counter-Strike 2,91.91149557692816,31.71329625474632,5.785539892758586,79.79531574930044,4.073721893420769,RPG,34077.4081405798,stable,1
Ori and the Will of the Wisps,55.94608262582113,43.569009742986445,46.36300919443668,0.0,0.0,Racing,144162.0152908373,falling,0
Stardew Valley,57.89401075763574,74.26823063891433,73.81717120379321,0.0,0.0,Fighting,31735.585054841602,stable,0
Halo Master Chief Collection,51.16195375545816,80.98953455158895,77.91193573581657,0.0,0.0,Metroidvania,138348.08109003914,growing,0
Hades,44.24565826573117,8.721733008474857,10.267582298909648,2.4945904646566897,0.2506014193609317,Horror,115612.12050708386,stable,0
Grand Theft Auto V,53.76971580502572,60.624827368968454,61.617293859563965,0.5068677827204251,0.0,Puzzle,99262.46704664771,falling,0
Monster Hunter World,43.42163671566793,47.70351908911865,43.79815985887882,0.0,0.2799280909855314,Adventure,11105.901732802024,growing,0
Doom Eternal,97.33769729708872,30.400407555727387,20.01894510992178,42.872245626763956,20.022730606354095,Adventure,73330.7860039019,falling,1
FIFA 24,43.83707672247539,11.321495427335044,0.6808111363326179,79.85723160056737,20.048122682809087,Shooter,109397.80611942863,falling,1
Resident Evil 4 Remake,74.8256372683168,19.283801029795363,19.32425232721795,0.0,0.0,Co-op,20993.15660968786,stable,0
A Way Out,71.07449819246746,42.017846348625696,40.18085898277384,0.7821643432245983,0.4260583910198729,Sports,53931.18847340549,falling,0
Apex Legends,97.2512919730135,20.019195727208118,13.763598234146965,30.517404190099242,5.100492424422909,Simulation,79908.03738258922,falling,1
For Honor,63.32956982375387,28.841634332889267,29.774463864026874,1.7072103743538352,0.3809391369515198,Simulation,149105.6235824431,falling,0
Fallout 4,85.57578573374332,32.59105736847242,5.910502171952367,77.60992169774602,17.905888133859122,Survival,165803.6880610074,falling,1
RimWorld,95.6602721126958,17.277169322010845,16.09292120438629,0.8913354835946796,0.1140024463920578,Adventure,128074.24623170917,growing,0
It Takes Two,73.04387430342214,34.63592542192454,16.29934857015779,47.197504181929226,4.058604860961176,Co-op,78370.7794140766,growing,1
The Elder Scrolls V: Skyrim,67.71976511529199,44.72083106829186,25.866100859173418,38.23555943500963,7.459835402386439,Horror,145487.91026196472,stable,1
PUBG,66.77277984816986,57.27792532503541,54.56995060810493,0.5653161304899118,0.5538706538066271,Simulation,118966.28743410639,growing,0
The Witcher 3,93.3810373609378,51.63017738377912,26.55238235952533,49.10035400202895,3.262089470975664,Adventure,109232.95390173596,growing,1
Chivalry 2,69.93754025627183,64.51545269703176,66.13206128369312,1.330702371048293,0.0,Metroidvania,20736.066217729323,falling,0
Baldur's Gate 3,79.41299320751394,31.209911552888702,28.745315020291425,0.0,0.06463374668552406,Puzzle,142954.79807886775,falling,0
RimWorld,94.74368746527605,0.6403033962841391,2.422862869153923,58.345468707474225,5.439699377134523,Adventure,79506.25061463886,growing,1
Cyber Hook,73.39453603406172,46.62737138750794,46.02681369201878,0.0,0.0,Simulation,62003.88055103972,stable,0
Baldur's Gate 3,83.52584434964992,0.7517438342858871,0.0,40.63005334240439,6.730140840319351,Indie,154738.83404202247,stable,1
Lies of P,59.154194376330075,32.505859146158116,34.10168323531347,0.0,0.5459557096568254,Simulation,135147.92171057453,stable,0
Palworld,46.01002401466356,48.78282917781809,49.75991893086395,0.0,0.0,Action,14080.368474253575,falling,0
Limbo,82.6011533213193,59.187444399595364,42.60150053258682,32.048315266703334,7.896738225163003,Puzzle,4589.968762572346,falling,1
The Outlast Trials,87.70514824823726,41.22928773277021,16.614162077737184,61.888251766929535,10.607291775871841,Shooter,56906.27574897354,growing,1
Black Desert Online,60.390588131172144,74.59886531619337,60.50946125046803,21.278522440700627,15.724071902414252,Adventure,22430.390368098695,falling,1
Assassin’s Creed Valhalla,90.54371451726027,32.33595753955819,19.310008733596554,51.20082136779602,26.688824781884623,Racing,13863.746928750392,growing,1
Escape from Tarkov,59.95976839130214,70.76019874739225,51.85117483447625,27.949927972292365,12.903080340403724,Simulation,28548.469835041637,stable,1
Factorio,53.40500574716499,40.9764361901507,43.158507913654375,0.0,0.06258822559891107,Simulation,181845.01080372377,stable,0
Path of Exile 2,98.21244674291796,3.167156813533758,1.2890394491990218,22.156875331509553,17.09424925287469,Action,79466.31649994742,falling,1
NBA 2K25,78.27740019839769,57.444871818987394,59.57235605384485,0.0,0.01787792343833487,Shooter,123155.4294897594,growing,0
Apex Legends,66.39197882823798,78.79741315598162,63.84875698972838,19.94996709247236,16.082502120853874,Roguelike,21879.674866088462,falling,1
Dragon Ball FighterZ,93.88416508666486,4.546601064026843,0.0,69.83785119429147,15.598836998520857,Racing,31783.812217054092,growing,1
Hunt: Showdown,94.42661435541851,68.96295727465518,33.17447096951377,50.25359083279342,28.151684180229577,Puzzle,166073.24693993732,stable,1
Monster Hunter World,58.992790089376655,67.48331853987031,66.90172951506425,1.9453842522155917,0.6959095515563973,Survival,84089.75871019576,falling,0
Escape from Tarkov,91.05088465448122,47.04949810783423,29.14731385933186,40.454242806618744,0.7737822362015547,Sports,71821.1959646583,stable,1
Hunt: Showdown,75.92265849447175,49.652493536261034,9.31742994898093,81.45402509499763,16.476671467893073,Survival,96683.46045256087,growing,1
Dragon Ball FighterZ,72.28372189108909,5.696894123097916,6.4159705107838505,0.0,0.1392386543685078,Fighting,108549.25589771959,stable,0
The Forest,72.478631504121,32.97765630955504,8.555628779880644,79.39964421313536,16.231836941559973,Metroidvania,52591.138606718305,falling,1
The Forest,58.886676724158974,29.2352798172294,30.47009428059054,0.0,0.0,Strategy,142569.9630919847,falling,0
Lost Ark,48.99726417094669,40.30234502978874,43.71935834755436,0.47793102773117563,0.18341986768651747,Adventure,168762.48966196313,growing,0
Baldur's Gate 3,78.29938398876446,19.32233853730687,7.363848835103943,58.487460023402726,20.004408632127074,Sports,148043.41119976537,falling,1
Payday 2,60.522136477162505,53.26143924520311,52.34262494020967,0.1218316088716147,0.2964245969821816,Puzzle,85008.30586432728,stable,0
Hades,55.687357533176424,77.11401077503385,52.94707716065713,30.5442965326327,18.369267660519846,Puzzle,151989.4703999259,stable,1
Warframe,69.67622476838318,39.528561818748855,22.16804366477973,39.6120652901632,12.21530661461159,Co-op,72922.16257955195,growing,1
Cities: Skylines,56.14133141489432,32.07844547695497,23.6810580275142,30.197606213507996,16.5659696564729,Indie,132292.29240583236,falling,1
Tekken 8,61.46462364238581,41.874399378741685,42.21577594637633,0.0,0.5140841232681503,Simulation,169857.80383335374,falling,0
No Man's Sky,91.50078523559333,26.49951711629639,5.55058439877774,69.84588543762085,2.631016828414766,Roguelike,170806.38139889145,growing,1
Dead Cells,47.65851961823951,67.4667780559765,69.17448934422748,0.0,0.43203094008788634,Metroidvania,129754.67059704335,falling,0
Assassin’s Creed Valhalla,67.11373998896485,52.20661550964292,53.22480097255845,0.0,0.1922919925318351,Action,140012.0227657733,falling,0
Tekken 8,39.45120958894684,30.880128099642143,15.721383334775252,49.570312207651234,29.115504095079455,Racing,118502.74541724358,falling,1
Euro Truck Simulator 2,40.46319113115627,53.341324489343634,56.43496623577232,0.6385869139491149,0.0,Action,13596.266971817542,falling,0
Stardew Valley,73.82166571759757,1.532089022486805,2.166260104776799,1.4043267305230593,0.0,Indie,114529.19842102937,stable,0
Forza Horizon 5,96.5337271671117,33.195924333749545,14.781408978876328,49.964940061149896,21.020684778321474,Co-op,142163.90275535622,growing,1
Hunt: Showdown,62.761460917148,4.389922517560403,4.5526155838035285,19.475993520401175,0.8591506271779286,Horror,37398.417976549754,falling,1
Dead Cells,95.23945439408382,32.108968866211285,29.139357513339867,2.208337435206034,0.0,Strategy,104420.95765774908,stable,0
Doom Eternal,82.23703668711757,15.928767516686088,4.697690940762985,79.79115271772096,13.685624982864462,RPG,110866.05295824024,stable,1
Left 4 Dead 2,81.08532373278466,3.8980746510170037,2.997579853185099,1.9496204747096413,0.17775620416634583,Survival,171938.09295293657,falling,0
NBA 2K25,97.24026034006584,14.326942357699002,9.144277390695454,22.677021777160157,21.856073688032335,Co-op,75834.37488702708,stable,1
Frostpunk,76.0815963380965,13.91012998371055,15.603104561532879,0.0,0.19401312251669,Survival,167522.15739398298,falling,0
Ori and the Will of the Wisps,59.53228667039534,73.7070163470114,66.98220036238489,10.356171346352207,22.25487832071325,Metroidvania,72399.68860954203,falling,1
Stardew Valley,39.36781377635198,74.27795083626685,59.01050162207536,17.579333696177383,28.9884164641643,Survival,78151.69209552328,falling,1
Hotline Miami 2,96.21987823985052,24.25458158305755,23.72053028265788,0.2606861768738002,0.0,Strategy,175542.91325176618,growing,0
Assassin’s Creed Valhalla,84.5088462032227,76.61273183481828,78.23818399396933,0.0,0.0,Simulation,97941.36073115595,growing,0
Path of Exile 2,73.69263926516754,27.19185598518311,10.724526393655612,59.24872628357078,8.686970463611472,Racing,6429.170429403109,falling,1
PUBG,42.96701476229047,65.8235846676743,67.66215314546997,1.7323617920650793,0.20923793558167952,Simulation,138253.8517392157,stable,0
Frostpunk 2,83.16994043038686,29.477351039796662,16.145174892858208,49.86539728952031,25.070657842840046,Survival,70080.56011211127,stable,1
The Forest,42.47610905840242,57.585142514729164,57.01940455547782,0.0,0.7238232008136378,Adventure,193349.21090099475,falling,0
Sea of Thieves,86.52343374649959,51.775815948244734,34.3452064702752,27.223548883123993,1.065720701448114,Metroidvania,154765.75441023635,stable,1
Devil May Cry 5,81.79873352993205,28.063358293919382,28.50278703711465,0.23451672596272916,0.6949358775957124,Co-op,167241.62823966908,growing,0
Lost Ark,44.19530951036781,3.7915154847368884,3.9437196011844864,1.2308157226214904,0.30955362648778745,Shooter,15852.565941737777,falling,0
Baldur's Gate 3,86.60244474385989,9.454715387828234,8.936936409487299,9.61830389673632,5.509626405955207,RPG,138977.27217534,growing,1
Hunt: Showdown,81.24090391221681,51.95911905761788,52.545112267003816,0.0,0.0,Indie,77532.07745560884,growing,0
UltraKill,69.68730565051861,79.23084261282492,77.49705896268745,1.1270939537453386,0.0,RPG,62562.139060643465,stable,0
CyberConnect,42.95475929637643,69.47089214748581,72.04014211490959,0.0,0.0,Fighting,60987.97895348287,growing,0
UltraKill,56.2826940542244,27.674999722146854,27.276423937632998,0.0,0.0,Indie,194229.60475303608,falling,0
Ori and the Blind Forest,77.13766819770609,4.98232632435576,7.335426513840253,1.3032169130051114,0.4703790572194045,Indie,147473.35891680897,growing,0
Lies of P,46.51726405421218,0.5678562338506854,0.8585836216513372,1.1298493166249701,0.0,Simulation,99786.57381163516,stable,0
Lost Ark,55.31476482941657,47.92195958395884,29.249828583910574,39.99108669667941,4.9450376823465865,Co-op,10857.947117635396,stable,1
Outlast,81.49903113762964,15.932927579698134,8.877565635189285,51.106879881806925,1.056649573715902,Strategy,48773.13396593755,falling,1
Ori and the Blind Forest,93.7581111789653,7.593052931214345,8.520966312163855,0.7503898639657147,0.0,Fighting,21653.883572210136,stable,0
Warframe,51.133534674665995,72.33859604689356,70.28368260601435,0.0,0.22536284705964335,Sports,28731.027866259617,stable,0
Destiny 2,79.45022920424354,11.164049686968289,4.261193197422934,39.36731329890273,27.247660333489694,Racing,127654.2799880424,stable,1
Destiny 2,81.52114686289528,12.733547802512057,6.749976134906022,39.25572958742665,11.979205876680131,Action,123445.5544566334,falling,1
Escape from Tarkov,97.8421879102224,62.903388740612364,41.54864746759471,32.46193603262517,4.1988963693440216,Survival,34511.312422847644,growing,1
Terraria,74.99985072071868,15.056505599636775,11.180610863981896,27.396328161593505,13.453878649593761,Indie,49019.852883864,growing,1
Devil May Cry 5,61.79329000733895,30.832932217033267,32.5373554390089,0.0,0.0,Indie,155277.31134733293,stable,0
Frostpunk,53.802326940659846,32.19691703528154,32.39774244162767,0.0,0.0,Metroidvania,75959.79948737849,stable,0
Oxygen Not Included,58.04047644355044,3.3128428760986313,3.4217960482318013,60.12780369152207,28.10594655729219,Strategy,22936.572301485096,falling,1
Don't Starve Together,45.390057660945665,20.76438630154819,22.058497170543248,0.43840203457961774,0.0,Simulation,39787.15977509366,falling,0
Final Fantasy XV,62.67414135003852,29.063627233230797,27.288692858404413,0.0,0.0,Simulation,151874.6002929365,falling,0
Counter-Strike 2,48.39834120869675,16.757823704694967,13.929957881181547,1.3543256392827425,0.06415390190945523,Indie,27605.45542587401,stable,0
Metal Gear Solid V,97.26210345592568,50.12235647232956,18.075724586715832,61.11256338163166,28.671405161771382,Puzzle,5734.527975536053,growing,1
Tekken 8,47.487361704999,45.62340058499664,47.17971773291685,1.7849733582260687,0.0,RPG,21118.50446606437,falling,0
Among Us,51.395251770357255,0.8203242421919443,1.6834374915507957,0.0,0.0,Strategy,32826.540887671115,falling,0
Counter-Strike 2,79.24916933219649,31.237088277261286,21.001195510392648,21.762775833293812,0.8115903082147653,Horror,146276.25837710878,falling,1
Ori and the Blind Forest,83.1032674170098,47.858844183747436,48.287138515902846,1.5290342691053869,0.0,Survival,56645.49482624773,falling,0
Deep Rock Galactic,86.03139217724792,62.4897031247883,57.80143696064673,8.992679503373108,9.813122812474166,Metroidvania,83858.98403582863,falling,1
Red Dead Redemption 2,79.76465966554505,35.97957321758895,7.6583750266271435,78.66996476526157,3.8345941591760275,Horror,11091.275239072154,stable,1
Mount & Blade II: Bannerlord,84.08693399202672,62.8250430564347,24.658478367820727,60.184284613114265,10.547148715963019,RPG,70460.879616052,stable,1
Red Dead Redemption 2,78.6875522381093,75.32651846220101,73.32964989741247,0.0,0.7816633201577019,Simulation,38781.09642718958,growing,0
Slime Rancher,93.84118340332208,22.459976459405002,22.733001220733996,2.3250261395371923,0.08470922955322913,Strategy,78.54046872741492,falling,0
Rainbow Six Siege,63.386648317033725,10.945169043999089,4.9846952367032555,49.9941562153816,1.2460877597674382,Metroidvania,81508.27811362177,stable,1
Black Desert Online,50.76753891390663,17.334760769873196,17.254236263773777,8.141987207685984,5.768199788870822,Survival,157618.65557062416,growing,1
Cyber Hook,50.17817195223838,11.01654425538102,11.72719368110785,0.0,0.710823838606165,Racing,7008.503873724302,growing,0
Oxygen Not Included,80.07574333655856,66.46194839805824,52.931062124327504,18.91525312881155,20.62752656379598,Strategy,34712.90436363254,stable,1
Hotline Miami 2,77.51136817308182,14.007908529856923,5.221593079732589,70.93817245879482,18.9910977262585,RPG,0.0,growing,1
Factorio,69.80367522555423,64.4243057119049,63.814006480046785,1.5385347171032917,0.0,Metroidvania,27217.492912289756,falling,0
Mount & Blade II: Bannerlord,78.92088938732087,71.51000314972774,13.00220371351635,80.81779750561623,1.2132096465084807,Action,171389.21931748287,stable,1
Black Desert Online,97.92299799597284,11.129138580658621,11.054400623058124,1.998280730486481,0.0,Simulation,130381.78570563803,growing,0
Palworld,83.59953913878346,50.238393713208715,25.86872460820421,52.62540745426337,5.612529494923823,Horror,16419.1196159964,falling,1
The Division 2,97.81118430488986,12.812780161895954,7.658480417889492,17.967201899648416,21.849191419943732,Co-op,74555.5936477177,stable,1
Red Dead Redemption 2,45.95743002271176,13.917961530404746,14.378306872831715,1.5800428335829093,0.0,Puzzle,33050.66015498772,stable,0
The Division 2,72.69454314227714,14.757463386186801,15.903630356977597,0.0,0.16341145255810688,Puzzle,167688.0425341782,falling,0
Slime Rancher,61.35346976618585,67.81248134019212,67.46739823749161,1.663530480097004,0.42451630955708186,Strategy,50543.933139070876,stable,0
Factorio,45.27358050153836,28.901749556007708,28.995422940736248,0.0,0.0,Co-op,201618.41097987077,falling,0
A Way Out,83.98700025654428,67.45348608438339,65.8702907105612,0.33590275712395007,0.012786059287194337,Survival,151297.2580411038,stable,0
Planet Coaster,41.67260686178026,36.36284551882274,35.77598260995655,0.0,0.0,Fighting,152979.32688646935,falling,0
PUBG,62.53082398598182,72.54250885564288,41.89060480379766,40.41061404254986,13.886175348178174,Action,21978.261512873796,stable,1
Goat Simulator 3,57.65370396279828,15.514318943902131,3.3635371159608978,78.96036266236673,13.433692428445466,Adventure,173662.93391014772,stable,1
Far Cry 5,94.77246328947624,13.138045368641984,10.138364630625693,20.565058797533972,14.84525537321795,Indie,83288.71301344864,growing,1
